[USGS_PARAMETER],SHEF_PARAMETER,SHEF_FACTOR,SHEF_UNIT,DSS_PARAMETER,DSS_FACTOR,DSS_UNIT,DSS_TYPE,CWMS_PARAMETER,CWMS_FACTOR,CWMS_UNIT,CWMS_TYPE
[00010],TW,1,SI,TEMP-WATER,1,DEG-C,INST-VAL,Temp-Water,1,C,Inst
[00021],TA,1,ENGLISH,TEMP-AIR,1,DEG-F,INST-VAL,Temp-Air,1,F,Inst
[00035],US,1,ENGLISH,SPEED-WIND,1,MPH,INST-VAL,Speed-Wind,1,mph,Inst
[00036],UD,1,ENGLISH,DIR-WIND,1,DEG,INST-VAL,Dir-Wind,1,deg,Inst
[00045],PPC,1,ENGLISH,PRECIP-INC,1,IN,PER-CUM,Precip,1,in,Total
[00052],XR,1,ENGLISH,HUMIDITY-RELATIVE,1,PERCENT,INST-VAL,%-Humidity,1,%,Inst
[00060],QR,0.001,ENGLISH,FLOW,1,CFS,INST-VAL,Flow,1,cfs,Inst
[00061],QR,0.001,ENGLISH,FLOW,1,CFS,INST-VAL,Flow,1,cfs,Inst
[00065],HG,1,ENGLISH,STAGE,1,FEET,INST-VAL,Stage,1,ft,Inst
[00095],WC,1,ENGLISH,CONDUCTANCE,1,US/CM,INST-VAL,Cond,1,umho/cm,Inst
[00096],WS,1,ENGLISH,SALINITY,0.001,MG/L,INST-VAL,Conc-Salinity,0.001,mg/l,Inst
[00062],HP,1,ENGLISH,ELEV,1,FEET,INST-VAL,Elev,1,ft,Inst
[72036],LS,1,ENGLISH,STOR,1000,ACFT,INST-VAL,Stor,1000,ac-ft,Inst
[62608],RW,1,ENGLISH,RADIATION-SOLAR,1,W/M2,INST-VAL,Irrad-Solar,1,W/m2,Inst
[63160],HP,1,ENGLISH,ELEV,1,FEET,INST-VAL,Elev,1,ft,Inst
